domain_accession,n_carriers,n_species_present,n_species_absent,avoidance_score,expected_species_absent,excess_absence,poisson_binomial_p,n_clades_present,n_clades_absent,clade_avoidance_score,absent_clades,present_species,q_value,significant_q05,domain_name,description,clan_accession,clan_id
PF02535,3,2,14,0.875,14.239,-0.239,0.7987440555487333,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum,0.9999590328186712,False,Zip,ZIP Zinc transporter,CL0184,DMT
PF03092,3,2,14,0.875,14.239,-0.239,0.7987440555487333,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum,0.9999590328186712,False,BT1,BT1 family,CL0015,MFS
PF16212,3,2,14,0.875,14.239,-0.239,0.7987440555487333,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum,0.9999590328186712,False,PhoLip_ATPase_C,Phospholipid-translocating P-type ATPase C-terminal,CL0137,HAD
PF00012,6,3,13,0.8125,13.267,-0.267,0.7685852595555821,3,4,0.5714,"Laverania (ape); avian; primate (human); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium cynomolgi; Plasmodium falciparum,0.9999590328186712,False,HSP70,Hsp70 protein,CL0108,Actin_ATPase
PF00113,6,3,13,0.8125,13.3,-0.3,0.77846267435171,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium yoelii,0.9999590328186712,False,Enolase_C,"Enolase, C-terminal TIM barrel domain",CL0036,TIM_barrel
PF03952,6,3,13,0.8125,13.3,-0.3,0.77846267435171,2,5,0.7143,"Laverania (ape); avian; primate (human); primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium yoelii,0.9999590328186712,False,Enolase_N,"Enolase, N-terminal domain",CL0227,Enolase_N
PF00081,5,3,13,0.8125,13.501,-0.501,0.836963345141598,2,5,0.7143,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium malariae; Plasmodium vivax,0.9999590328186712,False,Sod_Fe_N,"Iron/manganese superoxide dismutases, alpha-hairpin domain",,
PF02777,5,3,13,0.8125,13.501,-0.501,0.836963345141598,2,5,0.7143,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic); rodent",Plasmodium falciparum; Plasmodium malariae; Plasmodium vivax,0.9999590328186712,False,Sod_Fe_C,"Iron/manganese superoxide dismutases, C-terminal domain",,
PF18213,5,3,13,0.8125,13.572,-0.572,0.8509579973231961,3,4,0.5714,"Laverania (ape); avian; primate (simian); primate (simian, zoonotic)",Plasmodium berghei; Plasmodium falciparum; Plasmodium vivax,0.9999590328186712,False,SUB1_ProdP9,SUB1 protease Prodomain ProdP9,CL0570,PPP-I
PF02430,8,4,12,0.75,12.774,-0.774,0.8705308185307321,4,3,0.4286,Laverania (ape); avian; primate (human),Plasmodium chabaudi; Plasmodium falciparum; Plasmodium fragile; Plasmodium knowlesi,0.9999590328186712,False,AMA-1,Apical membrane antigen 1,CL0168,PAN
